"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数,
倉敷市立下津井西小学校,10,10,9,10,11,12,28,34,62,3,7,1
倉敷市立本荘小学校,19,18,25,24,17,21,72,52,124,8,8,2
倉敷市立児島小学校,124,106,115,159,138,136,409,369,778,37,29,5
倉敷市立緑丘小学校,39,33,32,26,31,22,108,75,183,8,9,2
倉敷市立琴浦東小学校,43,58,46,49,43,55,144,150,294,16,15,3
倉敷市立琴浦西小学校,72,79,66,67,73,62,237,182,419,20,17,4
倉敷市立琴浦南小学校,39,36,36,39,50,39,140,99,239,18,11,3
倉敷市立琴浦北小学校,2,2,2,3,2,5,10,6,16,0,3,0
倉敷市立郷内小学校,50,43,71,56,85,70,196,179,375,18,16,3
倉敷市立郷内小学校尾原分校,0,0,0,0,0,0,0,0,0,0,0,0
倉敷市立玉島小学校,55,61,65,72,64,67,212,172,384,14,15,3
倉敷市立上成小学校,74,74,67,74,70,66,230,195,425,20,15,3
倉敷市立乙島小学校,60,54,67,52,68,56,176,181,357,18,15,3
倉敷市立乙島東小学校,28,29,27,26,24,29,87,76,163,14,9,3
倉敷市立柏島小学校,47,40,40,43,57,46,144,129,273,16,14,3
倉敷市立長尾小学校,153,158,171,137,143,150,477,435,912,34,32,5
倉敷市立富田小学校,78,81,76,74,76,49,207,227,434,15,17,3
倉敷市立玉島南小学校,58,49,69,60,86,64,187,199,386,7,15,2
倉敷市立沙美小学校,3,4,4,3,6,10,12,18,30,0,4,0
倉敷市立南浦小学校,3,4,3,2,3,3,9,9,18,0,3,0
倉敷市立穂井田小学校,8,5,9,7,14,10,33,20,53,1,7,1
倉敷市立船穂小学校,81,66,68,67,60,67,229,180,409,13,16,3
倉敷市立柳井原小学校,4,7,6,6,2,4,15,14,29,2,5,1
倉敷市立川辺小学校,56,39,60,39,53,53,145,155,300,14,14,3
倉敷市立岡田小学校,29,52,32,36,43,46,111,127,238,5,11,2
倉敷市立薗小学校,36,44,44,46,40,46,135,121,256,9,12,2
倉敷市立二万小学校,10,14,13,15,23,13,52,36,88,8,8,2
倉敷市立箭田小学校,45,55,44,49,45,55,153,140,293,15,15,3
倉敷市立呉妹小学校,6,9,13,10,13,18,40,29,69,0,6,0
津山市立東小学校,39,40,34,51,53,44,144,117,261,9,13,2
津山市立西小学校,31,35,33,34,33,35,114,87,201,16,9,3
津山市立南小学校,33,30,27,24,28,25,86,81,167,2,7,1
津山市立北小学校,36,35,37,43,44,38,114,119,233,2,12,2
津山市立林田小学校,44,40,48,45,47,40,131,133,264,13,14,2
津山市立鶴山小学校,70,71,75,64,82,68,213,217,430,20,17,3
津山市立弥生小学校,98,75,103,83,87,106,294,258,552,16,21,3
津山市立向陽小学校,34,48,45,38,44,43,140,112,252,16,13,3
津山市立院庄小学校,20,23,27,35,32,41,78,100,178,11,9,2
津山市立佐良山小学校,48,46,35,51,52,48,146,134,280,11,14,3
津山市立一宮小学校,66,89,79,89,80,83,264,222,486,11,18,2
津山市立高田小学校,20,18,27,21,17,32,81,54,135,13,9,3
津山市立清泉小学校,16,16,10,11,14,10,45,32,77,5,7,1
津山市立高倉小学校,16,17,18,11,13,12,41,46,87,5,8,2
津山市立高野小学校,93,58,82,78,102,76,257,232,489,21,21,4
津山市立成名小学校,19,14,20,17,14,18,63,39,102,5,8,2
津山市立河辺小学校,40,49,53,44,47,40,137,136,273,10,14,2
津山市立大崎小学校,31,29,28,30,36,33,94,93,187,12,8,2
津山市立広野小学校,16,27,17,19,11,19,53,56,109,4,8,2
津山市立加茂小学校,37,21,30,48,41,29,106,100,206,7,9,2
津山市立新野小学校,11,21,17,13,17,24,53,50,103,7,8,2
津山市立広戸小学校,6,11,9,12,13,9,34,26,60,2,7,1
津山市立勝加茂小学校,19,24,22,20,29,18,67,65,132,10,8,2
津山市立喬松小学校,9,14,10,7,10,11,32,29,61,2,7,1
津山市立中正小学校,11,9,13,18,14,21,41,45,86,5,8,2
津山市立誠道小学校,13,10,24,11,18,20,58,38,96,4,7,1
津山市立秀実小学校,14,15,12,15,11,15,42,40,82,4,7,1
玉野市立田井小学校,63,48,58,66,67,50,186,166,352,13,14,2
玉野市立築港小学校,19,8,7,17,21,25,47,50,97,4,7,1
玉野市立宇野小学校,31,32,35,23,33,27,98,83,181,12,8,2
玉野市立玉小学校,15,20,20,15,16,20,66,40,106,6,8,2
玉野市立玉原小学校,25,34,39,26,32,39,105,90,195,11,10,2
玉野市立日比小学校,20,25,24,30,25,19,83,60,143,7,8,2
玉野市立第二日比小学校,19,21,32,28,23,22,83,62,145,11,8,2
玉野市立山田小学校,16,14,15,13,16,23,50,47,97,5,7,1
玉野市立後閑小学校,3,12,8,7,6,10,25,21,46,5,6,1
玉野市立荘内小学校,115,120,110,122,115,109,347,344,691,36,29,6
玉野市立八浜小学校,27,22,30,28,26,26,84,75,159,11,9,3
玉野市立大崎小学校,10,21,13,17,19,8,50,38,88,4,7,1
玉野市立胸上小学校,13,12,13,16,17,15,55,31,86,2,7,1
玉野市立鉾立小学校,12,16,15,15,8,15,47,34,81,2,7,1
笠岡市立笠岡小学校,45,38,34,40,30,48,135,100,235,6,12,2
笠岡市立中央小学校,81,109,88,130,92,103,301,302,603,20,23,3
笠岡市立今井小学校,10,7,11,5,7,10,21,29,50,0,6,0
笠岡市立金浦小学校,32,33,37,35,39,34,119,91,210,3,8,1
笠岡市立城見小学校,25,26,23,24,28,35,76,85,161,5,7,1
笠岡市立陶山小学校,3,11,7,5,7,7,28,12,40,2,5,1
笠岡市立大井小学校,42,36,36,31,41,41,109,118,227,7,9,2
笠岡市立吉田小学校,12,25,21,17,19,18,54,58,112,9,8,2
笠岡市立新山小学校,9,7,15,10,10,10,33,28,61,1,7,1
笠岡市立神内小学校,23,18,17,20,18,22,65,53,118,7,8,2
笠岡市立大島小学校,39,38,35,29,21,26,85,103,188,4,9,1
笠岡市立大島東小学校,1,6,0,3,1,7,11,7,18,1,4,1
笠岡市立神島外小学校,3,6,4,5,3,2,12,11,23,0,4,0
笠岡市立白石小学校,0,1,0,1,1,1,2,2,4,0,2,0
笠岡市立北木小学校,2,2,1,2,0,0,2,5,7,0,2,0
笠岡市立真鍋小学校,0,2,0,1,1,1,2,3,5,0,2,0
笠岡市立六島小学校,0,0,2,0,1,2,2,3,5,0,2,0
笠岡市立北川小学校,11,13,19,22,25,12,51,51,102,4,8,2
井原市立高屋小学校,33,35,30,35,37,30,98,102,200,12,8,2
井原市立大江小学校,19,14,11,20,12,23,51,48,99,3,7,1
井原市立稲倉小学校,10,12,11,14,11,18,41,35,76,8,8,2
井原市立県主小学校,9,11,8,5,10,15,26,32,58,3,7,1
井原市立木之子小学校,29,20,22,27,15,23,83,53,136,5,7,1
井原市立荏原小学校,17,15,22,21,19,14,62,46,108,8,8,2
井原市立西江原小学校,34,30,43,38,36,41,121,101,222,4,11,2
井原市立野上小学校,1,5,0,3,2,4,7,8,15,0,3,0
井原市立青野小学校,6,8,5,1,7,8,19,16,35,0,4,0
井原市立井原小学校,30,34,40,31,30,34,97,102,199,9,9,2
井原市立出部小学校,57,68,76,67,66,59,201,192,393,20,18,5
井原市立芳井小学校,32,32,23,28,34,27,86,90,176,6,8,2
井原市立明治小学校,0,0,0,0,0,0,0,0,0,0,0,0
井原市立美星小学校,21,20,18,25,29,22,71,64,135,8,7,1
総社市立総社小学校,125,138,111,130,128,126,389,369,758,43,30,7
総社市立総社中央小学校,69,57,71,63,64,76,202,198,400,28,17,5
総社市立総社北小学校,44,27,32,28,38,40,106,103,209,14,10,3
総社市立常盤小学校,129,139,128,140,137,136,431,378,809,43,30,6
総社市立総社東小学校,50,58,53,54,39,41,156,139,295,23,14,4
総社市立阿曽小学校,22,23,21,21,22,21,72,58,130,5,7,1
総社市立池田小学校,5,6,6,11,10,9,30,17,47,0,6,0
総社市立秦小学校,16,15,16,14,21,17,49,50,99,7,8,2
総社市立神在小学校,16,22,22,22,24,27,70,63,133,11,8,2
総社市立総社西小学校,17,24,34,35,29,25,76,88,164,9,8,2
総社市立新本小学校,12,12,9,7,11,11,33,29,62,2,7,1
総社市立昭和小学校,21,20,22,18,25,17,62,61,123,15,9,3
総社市立維新小学校,9,4,5,7,2,4,14,17,31,0,4,0
総社市立山手小学校,73,72,78,64,56,52,214,181,395,25,17,5
総社市立清音小学校,57,51,49,66,49,39,169,142,311,19,14,3
高梁市立高梁小学校,60,65,49,56,57,70,187,170,357,16,15,3
高梁市立津川小学校,9,11,11,8,14,3,27,29,56,2,7,1
高梁市立川面小学校,6,12,13,8,12,14,31,34,65,2,7,1
高梁市立巨瀬小学校,3,5,7,8,6,8,17,20,37,0,3,0
高梁市立中井小学校,6,4,3,3,5,0,8,13,21,0,3,0
高梁市立玉川小学校,1,5,4,4,6,6,16,10,26,5,4,1
高梁市立宇治小学校,0,2,2,2,2,3,8,3,11,0,3,0
高梁市立松原小学校,5,3,4,3,8,1,14,10,24,2,4,1
高梁市立落合小学校,27,34,36,30,34,44,100,105,205,4,11,1
高梁市立福地小学校,1,4,3,3,1,1,10,3,13,0,3,0
高梁市立有漢東小学校,6,6,6,5,7,8,21,17,38,0,4,0
高梁市立有漢西小学校,11,9,10,10,15,7,29,33,62,5,7,1
高梁市立成羽小学校,24,28,24,26,27,36,92,73,165,10,8,2
高梁市立川上小学校,13,16,8,15,22,12,49,37,86,10,8,2
高梁市立富家小学校,8,5,10,6,4,10,22,21,43,1,6,1
新見市立思誠小学校,52,54,52,61,68,71,194,164,358,16,15,3
新見市立高尾小学校,9,9,16,6,11,11,38,24,62,0,6,0
新見市立新見南小学校,34,26,35,34,27,37,86,107,193,4,11,1
新見市立井倉小学校,4,10,3,6,10,5,22,16,38,1,5,1
新見市立草間台小学校,8,9,7,10,9,10,30,23,53,0,6,0
新見市立塩城小学校,5,5,6,7,4,5,21,11,32,0,4,0
新見市立上市小学校,13,16,8,12,10,6,39,26,65,0,6,0
